5,願,がん
6,ガン,がん
9,癌,がん
1,ギア,ぎあ
1,奇異,きい
1,紀伊,きい
33,キー,きー
1,帰依,きえ
50,消え,きえ
1,帰化,きか
2,気化,きか
7,聞か,きか
3,飢餓,きが
1,効き,きき
56,機器,きき
104,危機,きき
3,木々,きぎ
1,キク,きく
1,危ぐ,きぐ
3,危惧,きぐ
3,機具,きぐ
30,器具,きぐ
1,訊け,きけ
1,聴け,きけ
4,聞け,きけ
1,着込,きこ
1,キザ,きざ
18,刻,きざ
1,騎士,きし
2,起死,きし
3,棋士,きし
7,岸,きし
7,生地,きじ
46,記事,きじ
1,ギシ,ぎし
2,義姉,ぎし
3,技士,ぎし
8,技師,ぎし
1,議事,ぎじ
3,疑似,ぎじ
4,キス,きす
1,瑕,きず
1,疵,きず
1,キズ,きず
18,傷,きず
23,築,きず
5,着せ,きせ
5,木曽,きそ
21,競,きそ
33,起訴,きそ
90,基礎,きそ
2,喜多,きた
67,北,きた
16,木田,きだ
2,犠打,ぎだ
1,吉,きち
1,既知,きち
41,基地,きち
2,キツ,きつ
4,喫,きっ
1,木津,きづ
20,気付,きづ
46,気づ,きづ
1,喜怒,きど
1,輝度,きど
2,気取,きど
5,木戸,きど
1,絹,きぬ
2,鬼怒,きぬ
1,キノ,きの
1,気張,きば
1,騎馬,きば
2,牙,きば
2,木場,きば
3,忌避,きひ
1,機微,きび
2,犠飛,ぎひ
2,寄附,きふ
19,寄付,きふ
25,岐阜,ぎふ
2,ギブ,ぎぶ
178,規模,きぼ
1,義母,ぎぼ
81,決ま,きま
1,キミ,きみ
1,黄身,きみ
16,気味,きみ
60,君,きみ
1,君,ぎみ
1,キム,きむ
73,義務,ぎむ
145,決め,きめ
1,キモ,きも
3,肝,きも
2,居,きょ
16,寄与,きよ
15,魚,ぎょ
14,嫌,きら
1,キリ,きり
1,切り,きり
3,霧,きり
7,切り,ぎり
13,義理,ぎり
5,ギル,ぎる
1,キレ,きれ
1,着れ,きれ
33,切れ,きれ
1,帰路,きろ
2,岐路,きろ
110,キロ,きろ
7,際,きわ
1,筋,きん
2,欽,きん
2,キン,きん
5,近,きん
8,菌,きん
9,禁,きん
242,金,きん
11,銀,ぎん
5,悔い,くい
1,宮,ぐう
1,グー,ぐー
1,食え,くえ
3,茎,くき
2,区切,くぎ
3,クギ,くぎ
6,区議,くぎ
1,九九,くく
1,クサ,くさ
2,腐,くさ
9,草,くさ
10,臭,くさ
1,櫛,くし
4,駆使,くし
1,クジ,くじ
1,楠,くす
1,玖珠,くす
5,葛,くず
11,崩,くず
7,クセ,くせ
8,癖,くせ
2,降,くだ
4,砕,くだ
14,下,くだ
2,朽ち,くち
100,口,くち
1,グチ,ぐち
3,愚痴,ぐち
1,屈,くっ
1,靴,くつ
4,口説,くど
1,國,くに
468,国,くに
1,クバ,くば
12,配,くば
4,クビ,くび
41,首,くび
2,久保,くぼ
1,クマ,くま
3,熊,くま
1,与,くみ
24,組,くみ
38,組,ぐみ
1,粂,くめ
5,久米,くめ
11,組め,くめ
2,曇,くも
9,雲,くも
2,悔や,くや
1,鞍,くら
1,庫,くら
1,蔵,くら
1,暮,くら
2,食ら,くら
29,暗,くら
50,暮ら,くら
1,暗,ぐら
1,グラ,ぐら
4,クリ,くり
2,狂,くる
42,来る,くる
2,グル,ぐる
1,クレ,くれ
1,来れ,くれ
3,呉,くれ
8,暮れ,くれ
1,暮れ,ぐれ
56,黒,くろ
1,鍬,くわ
1,クワ,くわ
72,君,くん
14,郡,ぐん
21,群,ぐん
105,軍,ぐん
24,ケア,けあ
1,佳,けい
1,卿,けい
1,啓,けい
1,景,けい
1,渓,けい
1,頚,けい
3,形,けい
5,刑,けい
19,軽,けい
34,警,けい
93,計,けい
184,系,けい
7,芸,げい
3,ケー,けー
1,ゲオ,げお
5,ケガ,けが
10,怪我,けが
15,外科,げか
1,檄,げき
1,ゲキ,げき
25,劇,げき
1,下戸,げこ
5,今朝,けさ
2,袈裟,げさ
2,ケシ,けし
7,削,けず
1,ゲス,げす
4,消せ,けせ
10,桁,けた
1,下駄,げた
1,ケチ,けち
1,傑,けつ
1,決,けつ
2,決,けっ
2,結,けつ
2,血,けつ
14,月,げつ
1,下馬,げば
1,下卑,げび
1,煙,けむ
1,蹴り,けり
2,ゲリ,げり
3,下痢,げり
1,蹴れ,けれ
1,謙,けん
1,腱,けん
1,虔,けん
1,ケン,けん
3,間,けん
3,剣,けん
3,研,けん
6,健,けん
15,軒,けん
16,犬,けん
18,兼,けん
38,券,けん
51,圏,けん
170,件,けん
213,権,けん
590,県,けん
1,験,げん
1,玄,げん
1,舷,げん
1,ゲン,げん
3,元,げん
3,言,げん
7,弦,げん
11,原,げん
33,限,げん
43,現,げん
45,源,げん
74,減,げん
11,コア,こあ
1,来い,こい
4,故意,こい
20,恋,こい
1,攻,こう
1,浩,こう
1,溝,こう
1,紘,こう
1,コウ,こう
2,後,こう
2,功,こう
2,工,こう
2,抗,こう
2,考,こう
2,行,こう
3,黄,こう
3,光,こう
3,鋼,こう
5,口,こう
5,向,こう
7,広,こう
9,甲,こう
13,江,こう
15,好,こう
22,項,こう
